Username,Checked,Followers List,Followers Count
lauraessig,1,0,
Salford_support,1,0,
RaRapoport,1,0,
DanaHoule,1,0,
davefperkins,1,0,
CIMA_Media,1,0,
sarahkliff,1,0,
dylangroves,1,0,
electnr,1,0,
pei_baoming,1,0,
aplaceofhidingk,1,0,
metrichead,1,0,
frans_schuurman,1,0,
stancorrey,1,0,
TalithaKoumi7,1,0,
joe_barnsley,1,0,
occupyWINNING,1,0,
MonkeyBrk,1,0,
tiktishkoret,1,0,
peich01,1,0,
Sanita001,1,0,
jtotheslatch,1,0,
jmdenn,1,0,
paulwaldman1,1,0,
tgboeck,1,0,
raspeditor,1,0,
SurreyPolitics,1,0,
carolinapleTCD,1,0,
a_strezh,1,0,
jahdkhalil,1,0,
andyismo,1,0,
jhgsouth,1,0,
uOttawaCIPS,1,0,
j140p,1,0,
fbJ4evr,1,0,
cjm103,1,0,
eregonzalez,1,0,
M0Hall0ran,1,0,
MichaelGreig,1,0,
RMDean,1,0,
peterlorentzen,1,0,
globalcpal,1,0,
frenchie_A,1,0,
JamesCosstick,1,0,
TomJacobs_MM,1,0,
ulg86,1,0,
zeynebicener,1,0,
exolyrical,1,0,
laiabalcells,1,0,
jacobchr,1,0,
nawfalnet,1,0,
lauravetter,1,0,
jon_mellon,1,0,
ryancdaugherty,1,0,
RitaSousaVieira,1,0,
jaylyall_red5,1,0,
almahallawy,1,0,
IrisABoyd,1,0,
BrandonEden,1,0,
OrionDada,1,0,
caseyworks,1,0,
jasoncook42,1,0,
mktwrobs,1,0,
AprilAJohnson,1,0,
SAGEcriminology,1,0,
andyhgton88,1,0,
haroldpollack,1,0,
stephen_djones,1,0,
AlkaliSci,1,0,
JeffGulati,1,0,
CourtProf,1,0,
BEHJ,1,0,
PJMedia_com,1,0,
TobySJames,1,0,
KVadlamani,1,0,
mike_digs,1,0,
bartonbeth,1,0,
johnmfrench,1,0,
HashTheVote,1,0,
jasonstodolka,1,0,
josh_weinberg,1,0,
vanantwerpa,1,0,
nrepin,1,0,
HTranscript_SFU,1,0,
erikwscott,1,0,
rruizrufino,1,0,
mlopezplana,1,0,
CascadianQ,1,0,
Dr_S_Davidson,1,0,
tatnews,1,0,
civicallyminded,1,0,
joshuadarr,1,0,
lavallejc,1,0,
NatalieWold,1,0,
EdMigPer,1,0,
SylviaFriedel,1,0,
Ms_Diffident,1,0,
adamsethlevine,1,0,
stevelynch3,1,0,
j_fuller,1,0,
Fredbarbash,1,0,
JohnRDundon,1,0,
EmeraldEcon,1,0,
wrip1m,1,0,
HarryTCook,1,0,
jtgasper,1,0,
mecoutinho,1,0,
stepscentre,1,0,
PFTWorst,1,0,
tiemanng,1,0,
dilanthedylan,1,0,
TyHanes,1,0,
TheIPSBlog,1,0,
Qatarway,1,0,
brentonk,1,0,
davism81,1,0,
chakrabarty,1,0,
kberlack,1,0,
SouciantRich,1,0,
johndickerson,1,0,
USPolarization,1,0,
pgousdal,1,0,
fravel,1,0,
HFinseraas,1,0,
polbergceu,1,0,
andreaudette,1,0,
jashkenaz,1,0,
PJEberlyn,1,0,
HiddenAgent,1,0,
p_barbera,1,0,
mbgrinberg,1,0,
Gamersolve,1,0,
alicenutbrown,1,0,
Caterz,1,0,
jaimesalazarg,1,0,
davdittrich,1,0,
balkamos,1,0,
rgl12007,1,0,
devinaxtman,1,0,
wiltonman,1,0,
MattEckel,1,0,
Conflict_Peace,1,0,
SSRC_org,1,0,
NJDC,1,0,
MattieSteals,1,0,
piajomte,1,0,
MichaelManangu,1,0,
ed_kilgore,1,0,
sarahposner,1,0,
politologoperu,1,0,
BeirutToJupiter,1,0,
vdBSophie,1,0,
christcoumanis,1,0,
The2012Project,1,0,
RyanDEnos,1,0,
Blumenrat,1,0,
SenorEzra,1,0,
ElectNext_Sanch,1,0,
dnld_nrmn,1,0,
jrf_uk,1,0,
joshHuder,1,0,
GWResearchBlog,1,0,
think_tonk,1,0,
prstein,1,0,
BDMilne,1,0,
kfierlbeck,1,0,
NoyesAlexander,1,0,
JesseHolcomb,1,0,
bethanybh,1,0,
maguire1977,1,0,
amygershkoff,1,0,
jsantanalopes,1,0,
squarelyrooted,1,0,
leilaniabbeythr,1,0,
zeitblase,1,0,
shangraw703,1,0,
ttoboyle,1,0,
samclifford,1,0,
tito_labo,1,0,
drjennings,1,0,
leahmurray74,1,0,
dogunderwater,1,0,
claybobb,1,0,
bryan_lindsey,1,0,
UCLaCour,1,0,
Doctor_Corbin,1,0,
shawnwill100,1,0,
iurquizu,1,0,
EINUSPolitics,1,0,
RaymondLyons,1,0,
lindshi90,1,0,
ReidStan,1,0,
Versfeld,1,0,
Trejoida,1,0,
jnobop,1,0,
gmarceau,1,0,
PredictWise,1,0,
cmjnova,1,0,
MarkSinclairJr,1,0,
HyLi007,1,0,
mecapek,1,0,
theburningdeck,1,0,
padre_angle,1,0,
BobFertik,1,0,
redmangas,1,0,
acohn98,1,0,
